,Municipio,Año,Ingresos,Monto ingresos,Porcentaje ingresos,Egresos,Monto egresos,Porcentaje egresos,Concepto,Total
280,Cadereyta,2018,Ingresos propios,95897463,24.15%,Gasto corriente,283768956,71.47%,Ingresos,698241915
281,Cadereyta,2018,Ingresos provenientes de transferencias federales,301172226,75.85%,Inversión,74951638,18.88%,Egresos,397069689
282,Cadereyta,2018,Ingresos de deuda,301172226,0.00%,Deuda,147116,0.04%,,
283,Cadereyta,2018,,,,Otros,38201979,9.62%,,
284,El Carmen,2018,Ingresos propios,,,Gasto corriente,,,Ingresos,0
285,El Carmen,2018,Ingresos provenientes de transferencias federales,,,Inversión,,,Egresos,0
286,El Carmen,2018,Ingresos de deuda,,,Deuda,,,,
287,El Carmen,2018,,,,Otros,,,,
288,Ciénaga de Flores,2018,Ingresos propios,,,Gasto corriente,,,Ingresos,0
289,Ciénaga de Flores,2018,Ingresos provenientes de transferencias federales,,,Inversión,,,Egresos,0
290,Ciénaga de Flores,2018,Ingresos de deuda,,,Deuda,,,,
291,Ciénaga de Flores,2018,,,,Otros,,,,
292,García,2018,Ingresos propios,,,Gasto corriente,,,Ingresos,0
293,García,2018,Ingresos provenientes de transferencias federales,,,Inversión,,,Egresos,0
294,García,2018,Ingresos de deuda,,,Deuda,,,,
295,García,2018,,,,Otros,,,,
300,General Escobedo,2018,Ingresos propios,347721582,27.75%,Gasto corriente,947035351,75.59%,Ingresos,1252861869
301,General Escobedo,2018,Ingresos provenientes de transferencias federales,864084331,68.97%,Inversión,208479016,16.64%,Egresos,1252861869
302,General Escobedo,2018,Ingresos de deuda,41055956,3.28%,Deuda,29804496,2.38%,,
303,General Escobedo,2018,,,,Otros,67543006,5.39%,,
304,General Zuazua,2018,Ingresos propios,,,Gasto corriente,,,Ingresos,0
305,General Zuazua,2018,Ingresos provenientes de transferencias federales,,,Inversión,,,Egresos,0
306,General Zuazua,2018,Ingresos de deuda,,,Deuda,,,,
307,General Zuazua,2018,,,,Otros,,,,
312,Juárez,2018,Ingresos propios,163366591,19.20%,Gasto corriente,690398261,81.14%,Ingresos,850924731
313,Juárez,2018,Ingresos provenientes de transferencias federales,606095299,71.23%,Inversión,122550295,14.40%,Egresos,850924731
314,Juárez,2018,Ingresos de deuda,81462841,9.57%,Deuda,28296749,3.33%,,
315,Juárez,2018,,,,Otros,9679426,1.14%,,
320,Pesquería,2018,Ingresos propios,180913650,47.15%,Gasto corriente,231801948,60.41%,Ingresos,383683579
321,Pesquería,2018,Ingresos provenientes de transferencias federales,202769929,52.85%,Inversión,122592415,31.95%,Egresos,383683579
322,Pesquería,2018,Ingresos de deuda,,0.00%,Deuda,0,0.00%,,
323,Pesquería,2018,,,,Otros,29289216,7.63%,,
324,Salinas Victoria,2018,Ingresos propios,,,Gasto corriente,,,Ingresos,0
325,Salinas Victoria,2018,Ingresos provenientes de transferencias federales,,,Inversión,,,Egresos,0
326,Salinas Victoria,2018,Ingresos de deuda,,,Deuda,,,,
327,Salinas Victoria,2018,,,,Otros,,,,
332,Santa Catarina,2018,Ingresos propios,,,Gasto corriente,,,Ingresos,0
333,Santa Catarina,2018,Ingresos provenientes de transferencias federales,,,Inversión,,,Egresos,0
334,Santa Catarina,2018,Ingresos de deuda,,,Deuda,,,,
335,Santa Catarina,2018,,,,Otros,,,,
336,Santiago,2018,Ingresos propios,191736525,40.60%,Gasto corriente,283642370,60.06%,Ingresos,472270174
337,Santiago,2018,Ingresos provenientes de transferencias federales,241986976,51.24%,Inversión,163058919,34.53%,Egresos,472270174
338,Santiago,2018,Ingresos de deuda,38546673,8.16%,Deuda,2980236,0.63%,,
339,Santiago,2018,,,,Otros,22588649,4.78%,,
